fname,duration_s,pause_ratio,pause_count,mean_f0,max_rms_db,mean_rms_db
Hobbie3,7.56,0.044,0,138.43,-13.5,-26.38
Hobbie4,5.405,0.012,0,116.18,-12.13,-28.63
Hobbie5,19.625,0.005,0,94.79,-14.41,-28.69
Hobbie6,13.08,0.005,0,90.5,-13.86,-27.19
Hobbie7,19.245,0.005,0,128.31,-12.07,-29.57
Hobbie8,25.965,0.002,0,95.36,-12.78,-27.51
Hobby01,3.205,0.123,0,88.15,-14.13,-32.93
Hobby02,13.945,0.026,1,109.29,-10.87,-23.18
Hobby09,23.723,0.004,0,161.74,-13.61,-30.07
Hobby10,21.565,0.015,0,131.39,-11.1,-25.61
Hobby11,17.445,0.006,0,98.06,-15.79,-29.68
Hobby12,11.165,0.033,0,94.99,-12.56,-29.41
Hobby13,15.525,0.004,0,90.41,-11.65,-28.87
Hobby14,22.805,0.001,0,100.05,-10.16,-24.98
Hobby15,12.065,0.003,0,110.35,-15.3,-28.0
Hobby16,13.331,0.005,0,100.09,-12.06,-22.46
Hobby17,12.485,0.013,1,100.97,-13.58,-24.78
Hobby18,17.765,0.024,3,121.08,-9.44,-25.58
Hobby19,12.865,0.013,1,94.59,-15.78,-28.29
Hobby20,19.625,0.003,0,180.48,-16.41,-27.73
Hobby21,11.165,0.009,0,94.08,-10.85,-34.39
Hobby22,21.665,0.007,1,94.97,-12.83,-25.75
Hobby23,17.42,0.015,1,111.73,-11.53,-26.31
Lie01,15.785,0.175,6,109.7,-11.89,-26.97
Lie04,19.58,0.017,0,125.46,-10.61,-25.69
Lie05,15.965,0.004,0,103.8,-9.76,-27.51
Lie06,22.005,0.006,0,89.15,-11.52,-24.34
Lie07,17.985,0.018,1,140.75,-9.84,-26.97
Lie08,22.425,0.004,0,102.77,-12.12,-26.45
Lie09,21.965,0.003,0,143.16,-14.02,-24.29
Lie10,16.145,0.02,0,158.33,-15.42,-28.84
Lie11,20.945,0.014,0,99.69,-15.6,-26.66
Lie12,16.505,0.014,1,95.12,-10.41,-26.65
Lie13,11.965,0.008,0,98.7,-11.75,-25.99
Lie14,17.525,0.004,0,97.29,-11.97,-26.35
Lie16,14.185,0.005,0,127.98,-11.65,-26.5
Lie17,11.085,0.009,0,81.54,-13.19,-26.46
Lie18,13.785,0.026,0,118.01,-11.35,-25.87
Lie19,11.705,0.011,1,99.96,-12.89,-29.66
Lie20,24.345,0.001,0,214.6,-13.41,-27.71
Lie21,12.265,0.011,0,87.93,-13.68,-32.4
Lie22,28.605,0.014,0,88.18,-12.31,-24.35
Lie23,17.664,0.017,0,105.0,-13.42,-26.48
Norm01,21.285,0.037,2,109.5,-12.65,-29.2
Norm04,23.425,0.012,2,122.23,-9.95,-26.81
Norm05,31.145,0.002,0,124.43,-7.58,-25.0
Norm06,22.125,0.012,1,101.2,-10.87,-27.21
Norm07,22.925,0.017,0,144.87,-12.33,-27.27
Norm08,33.905,0.003,0,112.16,-8.01,-24.36
Norm09,16.445,0.008,0,204.15,-14.18,-26.77
Norm10,24.405,0.007,0,155.47,-11.09,-25.4
Norm11,19.665,0.017,0,110.98,-11.51,-29.38
Norm12,16.725,0.004,0,95.25,-12.05,-25.88
Norm13,28.585,0.006,0,92.82,-10.86,-27.28
Norm14,27.904,0.012,0,113.03,-10.24,-25.91
Norm16,19.065,0.008,0,108.03,-12.84,-22.3
Norm17,25.445,0.005,0,101.89,-13.92,-27.62
Norm18,18.385,0.02,0,136.84,-10.24,-24.32
Norm19,22.985,0.003,0,103.91,-12.6,-23.51
Norm20,26.605,0.004,0,234.25,-11.38,-27.98
Norm21,17.085,0.011,1,104.69,-10.4,-28.77
Norm22,20.705,0.003,0,94.24,-11.86,-27.13
Norm23,22.92,0.023,1,110.4,-13.16,-26.02
Start01,9.984,0.083,2,100.51,-12.95,-29.69
Start03,8.525,0.035,0,108.62,-11.82,-25.4
Start07,17.945,0.007,0,100.03,-10.55,-26.29
Start09,13.687,0.024,0,165.85,-11.92,-25.18
Start10,11.465,0.02,0,131.54,-17.08,-32.12
Start11,13.545,0.022,0,92.03,-13.68,-29.98
Start12,13.785,0.029,0,98.58,-12.57,-28.58
Start13,14.545,0.022,0,88.65,-11.93,-29.56
Start14,18.705,0.003,0,101.44,-11.41,-26.05
Start15,14.345,0.009,0,90.95,-14.03,-28.07
Start16,11.776,0.017,1,116.13,-13.09,-27.32
Start17,11.925,0.008,0,98.21,-12.84,-26.66
Start18,18.705,0.023,1,114.99,-10.53,-26.36
Start19,10.82,0.027,1,94.76,-13.16,-28.5
Start20,11.725,0.005,0,128.06,-17.74,-30.71
Start21,22.085,0.012,1,85.32,-14.4,-35.49
Start22,19.541,0.003,0,89.73,-12.85,-26.56
Start23,22.605,0.022,5,97.91,-12.9,-29.6
Story01,17.025,0.049,4,112.47,-11.38,-26.91
Story03,25.085,0.004,0,138.6,-11.18,-26.93
Story05,32.025,0.002,0,123.14,-8.61,-25.63
Story06,20.025,0.006,0,93.97,-10.52,-27.84
Story07,19.325,0.01,0,149.54,-12.22,-27.63
Story08,26.345,0.004,0,123.02,-7.7,-24.06
Story10,20.385,0.016,0,163.12,-10.35,-26.03
Story11,18.74,0.017,0,104.68,-12.34,-30.24
Story12,15.505,0.008,0,100.06,-12.1,-24.93
Story13,23.78,0.012,1,96.1,-11.68,-28.95
Story14,23.945,0.001,0,104.84,-10.41,-23.98
Story15,20.085,0.013,0,104.3,-14.68,-27.42
Story16,19.205,0.01,0,106.39,-12.4,-22.78
Story17,21.705,0.004,0,98.92,-12.99,-26.02
Story18,16.365,0.049,2,141.22,-10.1,-22.63
Story19,17.505,0.004,0,100.51,-12.54,-23.37
Story20,28.545,0.003,0,208.86,-12.88,-27.4
Story21,21.985,0.044,6,107.0,-10.07,-30.32
Story22,17.385,0.011,0,96.06,-12.7,-28.8
Story23,20.385,0.053,6,112.33,-11.7,-26.52
Story9,18.225,0.022,2,200.45,-12.63,-27.26
Truth01,9.785,0.264,2,115.27,-11.74,-25.87
Truth03,16.865,0.063,2,129.26,-12.7,-29.64
Truth07,15.005,0.002,0,139.33,-11.34,-27.57
Truth08,22.605,0.006,0,106.44,-11.34,-28.76
Truth10,10.805,0.021,1,129.08,-11.78,-28.64
Truth11,17.185,0.009,0,93.91,-14.23,-28.85
Truth12,12.085,0.03,0,91.15,-10.18,-23.3
Truth13,11.985,0.005,0,103.98,-11.69,-23.22
Truth14,18.603,0.014,1,102.64,-10.31,-25.09
Truth15,13.82,0.012,0,102.48,-14.5,-28.29
Truth17,16.405,0.004,0,96.28,-13.66,-26.07
Truth18,11.485,0.023,1,120.77,-10.07,-26.09
Truth19,10.525,0.006,0,101.73,-14.32,-26.19
Truth20,21.705,0.003,0,191.02,-12.31,-27.77
Truth21,6.665,0.025,1,93.16,-13.08,-28.76
Truth22,32.325,0.001,0,94.76,-12.93,-24.76
Truth23,14.94,0.024,0,108.17,-14.1,-26.58
lie02,7.545,0.009,0,104.5,-11.72,-21.5
lie03,14.751,0.022,0,124.17,-12.23,-23.08
lie15,11.38,0.023,0,99.64,-13.82,-30.05
norm02,25.28,0.022,2,113.19,-11.28,-23.64
norm03,29.525,0.003,0,134.67,-11.34,-27.64
norm15,26.18,0.001,0,100.54,-13.38,-26.99
start02,18.145,0.016,1,129.68,-12.92,-29.45
start04,11.505,0.003,0,102.44,-13.56,-27.34
start05,16.965,0.008,1,88.71,-12.98,-29.28
start06,12.045,0.022,0,127.0,-11.81,-29.25
story02,25.225,0.033,3,111.13,-11.14,-23.37
story04,21.545,0.003,0,118.3,-10.53,-25.67
truth02,9.965,0.023,0,110.65,-12.06,-23.23
truth04,20.285,0.003,0,119.01,-10.65,-26.56
truth05,23.445,0.005,0,96.83,-12.45,-25.5
truth06,20.005,0.005,0,89.96,-13.24,-27.44
truth09,14.445,0.011,1,152.46,-14.75,-25.35
truth16,12.705,0.008,0,131.11,-12.38,-24.65
